Gene_Name,PC1_Loading,PC2_Loading,Absolute_PC1_Impact,Absolute_PC2_Impact
tigr00730_family_rossman_fold_protein,-0.0630236905898953,-0.01896798275320264,0.0630236905898953,0.01896798275320264
log_family_protein,0.0630236905898953,0.01896798275320264,0.0630236905898953,0.01896798275320264
y_family_dna_polymerase,0.060860083700251394,-0.021861189824697636,0.060860083700251394,0.021861189824697636
plp_dependent_aminotransferase_family_protein,-0.06011843917840431,-0.017065687084229408,0.06011843917840431,0.017065687084229408
aminotransferase_like_domain_containing_protein,0.059843041166112866,0.02460789302511763,0.059843041166112866,0.02460789302511763
duf2809_domain_containing_protein,-0.059843041166112866,-0.02460789302511763,0.059843041166112866,0.02460789302511763
ribosomal_maturation_yjga_family_protein,0.059843041166112866,0.02460789302511763,0.059843041166112866,0.02460789302511763
ylmh_family_rna_binding_protein,0.059843041166112866,0.02460789302511763,0.059843041166112866,0.02460789302511763
rhamnulokinase,0.058762940229961355,-0.03855074253109387,0.058762940229961355,0.03855074253109387
poly_ethylene_terephthalate_hydrolase_family_protein,0.058711711023721,-0.027182010979653132,0.058711711023721,0.027182010979653132
manganese_catalase,0.058680704356494404,-0.007262323581876095,0.058680704356494404,0.007262323581876095
lpdd,0.05836976560005834,-0.024972572754245023,0.05836976560005834,0.024972572754245023
preatp_grasp_domain_containing_protein,0.05827631823790316,0.023461906896857173,0.05827631823790316,0.023461906896857173
peptide_ligase_pgm1_related_protein,-0.05827631823790316,-0.023461906896857173,0.05827631823790316,0.023461906896857173
glycine_rich_domain_containing_protein,0.05813977610721147,0.025950933065882514,0.05813977610721147,0.025950933065882514
zinc_dependent_alcohol_dehydrogenase_family_protein,-0.039772426867346666,0.06504330380281585,0.039772426867346666,0.06504330380281585
fructoselysine_6_kinase,0.022648669653225127,-0.0648804397681699,0.022648669653225127,0.0648804397681699
duf4395_domain_containing_protein,-0.03574137438982585,0.06469890844695687,0.03574137438982585,0.06469890844695687
substrate_binding_periplasmic_protein,-0.03574137438982585,0.06469890844695687,0.03574137438982585,0.06469890844695687
potassium_transporting_atpase_subunit_f,-0.04300067858901339,0.064033212652167,0.04300067858901339,0.064033212652167
srpbcc_family_protein,-0.027151668250584373,0.06383999867049887,0.027151668250584373,0.06383999867049887
monooxygenase,0.01765989715787197,-0.06365812021439714,0.01765989715787197,0.06365812021439714
ant_6,0.04675372814672669,-0.06350003746776903,0.04675372814672669,0.06350003746776903
ric,-0.04675372814672669,0.06350003746776903,0.04675372814672669,0.06350003746776903
duf542_domain_containing_protein,0.04675372814672669,-0.06350003746776903,0.04675372814672669,0.06350003746776903
hemerythrin_domain_containing_protein,-0.04675372814672669,0.06350003746776903,0.04675372814672669,0.06350003746776903
duf4272_domain_containing_protein,0.04675372814672669,-0.06350003746776903,0.04675372814672669,0.06350003746776903
duf1177_domain_containing_protein,-0.03179300001931795,0.06345277250621324,0.03179300001931795,0.06345277250621324
ykva_family_protein,-0.03179300001931795,0.06345277250621324,0.03179300001931795,0.06345277250621324
arom_family_protein,-0.03179300001931795,0.06345277250621324,0.03179300001931795,0.06345277250621324
